ArraySize,ArrayType,Algorithm,Threshold,TimeMs
4500,Random,Hybrid,10,17.000000
4500,AlmostSorted,Hybrid,10,0.000000
4500,ReverseSorted,Hybrid,10,29.000000
4500,Random,Hybrid,50,14.000000
4500,AlmostSorted,Hybrid,50,0.000000
4500,ReverseSorted,Hybrid,50,43.000000
4600,Random,StandardMerge,0,0.000000
4600,AlmostSorted,StandardMerge,0,0.000000
4600,ReverseSorted,StandardMerge,0,0.000000
4600,Random,Hybrid,10,15.000000
4600,AlmostSorted,Hybrid,10,0.000000
4600,ReverseSorted,Hybrid,10,39.000000
4600,Random,Hybrid,50,14.000000
4600,AlmostSorted,Hybrid,50,0.000000
4600,ReverseSorted,Hybrid,50,29.000000
4700,Random,StandardMerge,0,0.000000
4700,AlmostSorted,StandardMerge,0,0.000000
4700,ReverseSorted,StandardMerge,0,0.000000
4700,Random,Hybrid,10,15.000000
4700,AlmostSorted,Hybrid,10,0.000000
4700,ReverseSorted,Hybrid,10,31.000000
4700,Random,Hybrid,50,15.000000
4700,AlmostSorted,Hybrid,50,0.000000
4700,ReverseSorted,Hybrid,50,33.000000
4800,Random,StandardMerge,0,0.000000
4800,AlmostSorted,StandardMerge,0,0.000000
4800,ReverseSorted,StandardMerge,0,0.000000
4800,Random,Hybrid,10,16.000000
4800,AlmostSorted,Hybrid,10,0.000000
4800,ReverseSorted,Hybrid,10,48.000000
4800,Random,Hybrid,50,16.000000
4800,AlmostSorted,Hybrid,50,0.000000
4800,ReverseSorted,Hybrid,50,32.000000
4900,Random,StandardMerge,0,1.000000
4900,AlmostSorted,StandardMerge,0,0.000000
4900,ReverseSorted,StandardMerge,0,0.000000
4900,Random,Hybrid,10,17.000000
4900,AlmostSorted,Hybrid,10,0.000000
4900,ReverseSorted,Hybrid,10,50.000000
4900,Random,Hybrid,50,16.000000
4900,AlmostSorted,Hybrid,50,0.000000
4900,ReverseSorted,Hybrid,50,35.000000
5000,Random,StandardMerge,0,1.000000
5000,AlmostSorted,StandardMerge,0,0.000000
5000,ReverseSorted,StandardMerge,0,0.000000
5000,Random,Hybrid,10,24.000000
5000,AlmostSorted,Hybrid,10,0.000000
5000,ReverseSorted,Hybrid,10,40.000000
5000,Random,Hybrid,50,18.000000
5000,AlmostSorted,Hybrid,50,0.000000
5000,ReverseSorted,Hybrid,50,35.000000
5100,Random,StandardMerge,0,1.000000
5100,AlmostSorted,StandardMerge,0,0.000000
5100,ReverseSorted,StandardMerge,0,0.000000
5100,Random,Hybrid,10,28.000000
5100,AlmostSorted,Hybrid,10,0.000000
5100,ReverseSorted,Hybrid,10,50.000000
5100,Random,Hybrid,50,18.000000
5100,AlmostSorted,Hybrid,50,0.000000
5100,ReverseSorted,Hybrid,50,45.000000
5200,Random,StandardMerge,0,1.000000
5200,AlmostSorted,StandardMerge,0,1.000000
5200,ReverseSorted,StandardMerge,0,0.000000
5200,Random,Hybrid,10,20.000000
5200,AlmostSorted,Hybrid,10,0.000000
5200,ReverseSorted,Hybrid,10,38.000000
5200,Random,Hybrid,50,19.000000
5200,AlmostSorted,Hybrid,50,0.000000
5200,ReverseSorted,Hybrid,50,37.000000
5300,Random,StandardMerge,0,1.000000
5300,AlmostSorted,StandardMerge,0,0.000000
5300,ReverseSorted,StandardMerge,0,0.000000
5300,Random,Hybrid,10,19.000000
5300,AlmostSorted,Hybrid,10,0.000000
5300,ReverseSorted,Hybrid,10,57.000000
5300,Random,Hybrid,50,19.000000
5300,AlmostSorted,Hybrid,50,0.000000
5300,ReverseSorted,Hybrid,50,50.000000
5400,Random,StandardMerge,0,1.000000
5400,AlmostSorted,StandardMerge,0,0.000000
5400,ReverseSorted,StandardMerge,0,0.000000
5400,Random,Hybrid,10,24.000000
5400,AlmostSorted,Hybrid,10,0.000000
5400,ReverseSorted,Hybrid,10,41.000000
5400,Random,Hybrid,50,20.000000
5400,AlmostSorted,Hybrid,50,0.000000
5400,ReverseSorted,Hybrid,50,54.000000
5500,Random,StandardMerge,0,1.000000
5500,AlmostSorted,StandardMerge,0,0.000000
5500,ReverseSorted,StandardMerge,0,0.000000
5500,Random,Hybrid,10,22.000000
5500,AlmostSorted,Hybrid,10,0.000000
5500,ReverseSorted,Hybrid,10,45.000000
5500,Random,Hybrid,50,24.000000
5500,AlmostSorted,Hybrid,50,0.000000
5500,ReverseSorted,Hybrid,50,45.000000
5600,Random,StandardMerge,0,1.000000
5600,AlmostSorted,StandardMerge,0,0.000000
5600,ReverseSorted,StandardMerge,0,0.000000
5600,Random,Hybrid,10,22.000000
5600,AlmostSorted,Hybrid,10,0.000000
5600,ReverseSorted,Hybrid,10,45.000000
5600,Random,Hybrid,50,23.000000
5600,AlmostSorted,Hybrid,50,0.000000
5600,ReverseSorted,Hybrid,50,47.000000
5700,Random,StandardMerge,0,1.000000
5700,AlmostSorted,StandardMerge,0,0.000000
5700,ReverseSorted,StandardMerge,0,0.000000
5700,Random,Hybrid,10,24.000000
5700,AlmostSorted,Hybrid,10,0.000000
5700,ReverseSorted,Hybrid,10,67.000000
5700,Random,Hybrid,50,23.000000
5700,AlmostSorted,Hybrid,50,0.000000
5700,ReverseSorted,Hybrid,50,51.000000
5800,Random,StandardMerge,0,2.000000
5800,AlmostSorted,StandardMerge,0,0.000000
5800,ReverseSorted,StandardMerge,0,0.000000
5800,Random,Hybrid,10,28.000000
5800,AlmostSorted,Hybrid,10,0.000000
5800,ReverseSorted,Hybrid,10,51.000000
5800,Random,Hybrid,50,24.000000
5800,AlmostSorted,Hybrid,50,0.000000
5800,ReverseSorted,Hybrid,50,50.000000
5900,Random,StandardMerge,0,1.000000
5900,AlmostSorted,StandardMerge,0,0.000000
5900,ReverseSorted,StandardMerge,0,0.000000
5900,Random,Hybrid,10,25.000000
5900,AlmostSorted,Hybrid,10,0.000000
5900,ReverseSorted,Hybrid,10,49.000000
5900,Random,Hybrid,50,24.000000
5900,AlmostSorted,Hybrid,50,0.000000
5900,ReverseSorted,Hybrid,50,49.000000
6000,Random,StandardMerge,0,1.000000
6000,AlmostSorted,StandardMerge,0,0.000000
6000,ReverseSorted,StandardMerge,0,0.000000
6000,Random,Hybrid,10,32.000000
6000,AlmostSorted,Hybrid,10,0.000000
6000,ReverseSorted,Hybrid,10,78.000000
6000,Random,Hybrid,50,25.000000
6000,AlmostSorted,Hybrid,50,0.000000
6000,ReverseSorted,Hybrid,50,52.000000
6100,Random,StandardMerge,0,1.000000
6100,AlmostSorted,StandardMerge,0,0.000000
6100,ReverseSorted,StandardMerge,0,0.000000
6100,Random,Hybrid,10,26.000000
6100,AlmostSorted,Hybrid,10,0.000000
6100,ReverseSorted,Hybrid,10,67.000000
6100,Random,Hybrid,50,26.000000
6100,AlmostSorted,Hybrid,50,0.000000
6100,ReverseSorted,Hybrid,50,67.000000
6200,Random,StandardMerge,0,1.000000
6200,AlmostSorted,StandardMerge,0,1.000000
6200,ReverseSorted,StandardMerge,0,0.000000
6200,Random,Hybrid,10,26.000000
6200,AlmostSorted,Hybrid,10,0.000000
6200,ReverseSorted,Hybrid,10,53.000000
6200,Random,Hybrid,50,26.000000
6200,AlmostSorted,Hybrid,50,0.000000
6200,ReverseSorted,Hybrid,50,76.000000
6300,Random,StandardMerge,0,1.000000
6300,AlmostSorted,StandardMerge,0,0.000000
6300,ReverseSorted,StandardMerge,0,0.000000
6300,Random,Hybrid,10,29.000000
6300,AlmostSorted,Hybrid,10,0.000000
6300,ReverseSorted,Hybrid,10,75.000000
6300,Random,Hybrid,50,29.000000
6300,AlmostSorted,Hybrid,50,0.000000
6300,ReverseSorted,Hybrid,50,58.000000
6400,Random,StandardMerge,0,1.000000
6400,AlmostSorted,StandardMerge,0,0.000000
6400,ReverseSorted,StandardMerge,0,0.000000
6400,Random,Hybrid,10,30.000000
6400,AlmostSorted,Hybrid,10,0.000000
6400,ReverseSorted,Hybrid,10,74.000000
6400,Random,Hybrid,50,29.000000
6400,AlmostSorted,Hybrid,50,0.000000
6400,ReverseSorted,Hybrid,50,61.000000
6500,Random,StandardMerge,0,1.000000
6500,AlmostSorted,StandardMerge,0,0.000000
6500,ReverseSorted,StandardMerge,0,0.000000
6500,Random,Hybrid,10,37.000000
6500,AlmostSorted,Hybrid,10,0.000000
6500,ReverseSorted,Hybrid,10,65.000000
6500,Random,Hybrid,50,39.000000
6500,AlmostSorted,Hybrid,50,0.000000
6500,ReverseSorted,Hybrid,50,73.000000
6600,Random,StandardMerge,0,1.000000
6600,AlmostSorted,StandardMerge,0,0.000000
6600,ReverseSorted,StandardMerge,0,0.000000
6600,Random,Hybrid,10,31.000000
6600,AlmostSorted,Hybrid,10,0.000000
6600,ReverseSorted,Hybrid,10,78.000000
6600,Random,Hybrid,50,39.000000
6600,AlmostSorted,Hybrid,50,0.000000
6600,ReverseSorted,Hybrid,50,66.000000
6700,Random,StandardMerge,0,1.000000
6700,AlmostSorted,StandardMerge,0,0.000000
6700,ReverseSorted,StandardMerge,0,0.000000
6700,Random,Hybrid,10,39.000000
6700,AlmostSorted,Hybrid,10,0.000000
6700,ReverseSorted,Hybrid,10,71.000000
6700,Random,Hybrid,50,35.000000
6700,AlmostSorted,Hybrid,50,0.000000
6700,ReverseSorted,Hybrid,50,83.000000
6800,Random,StandardMerge,0,1.000000
6800,AlmostSorted,StandardMerge,0,1.000000
6800,ReverseSorted,StandardMerge,0,1.000000
6800,Random,Hybrid,10,36.000000
6800,AlmostSorted,Hybrid,10,0.000000
6800,ReverseSorted,Hybrid,10,77.000000
6800,Random,Hybrid,50,34.000000
6800,AlmostSorted,Hybrid,50,0.000000
6800,ReverseSorted,Hybrid,50,76.000000
6900,Random,StandardMerge,0,1.000000
6900,AlmostSorted,StandardMerge,0,0.000000
6900,ReverseSorted,StandardMerge,0,0.000000
6900,Random,Hybrid,10,37.000000
6900,AlmostSorted,Hybrid,10,0.000000
6900,ReverseSorted,Hybrid,10,74.000000
6900,Random,Hybrid,50,36.000000
6900,AlmostSorted,Hybrid,50,0.000000
6900,ReverseSorted,Hybrid,50,80.000000
7000,Random,StandardMerge,0,4.000000
7000,AlmostSorted,StandardMerge,0,2.000000
7000,ReverseSorted,StandardMerge,0,1.000000
7000,Random,Hybrid,10,40.000000
7000,AlmostSorted,Hybrid,10,0.000000
7000,ReverseSorted,Hybrid,10,81.000000
7000,Random,Hybrid,50,38.000000
7000,AlmostSorted,Hybrid,50,0.000000
7000,ReverseSorted,Hybrid,50,86.000000
7100,Random,StandardMerge,0,1.000000
7100,AlmostSorted,StandardMerge,0,1.000000
7100,ReverseSorted,StandardMerge,0,1.000000
7100,Random,Hybrid,10,43.000000
7100,AlmostSorted,Hybrid,10,0.000000
7100,ReverseSorted,Hybrid,10,79.000000
7100,Random,Hybrid,50,37.000000
7100,AlmostSorted,Hybrid,50,0.000000
7100,ReverseSorted,Hybrid,50,78.000000
7200,Random,StandardMerge,0,1.000000
7200,AlmostSorted,StandardMerge,0,1.000000
7200,ReverseSorted,StandardMerge,0,2.000000
7200,Random,Hybrid,10,41.000000
7200,AlmostSorted,Hybrid,10,0.000000
7200,ReverseSorted,Hybrid,10,90.000000
7200,Random,Hybrid,50,39.000000
7200,AlmostSorted,Hybrid,50,0.000000
7200,ReverseSorted,Hybrid,50,92.000000
7300,Random,StandardMerge,0,1.000000
7300,AlmostSorted,StandardMerge,0,0.000000
7300,ReverseSorted,StandardMerge,0,1.000000
7300,Random,Hybrid,10,39.000000
7300,AlmostSorted,Hybrid,10,0.000000
